Aktenzeichen;Hersteller;Antragsteller;Testname;BfArM-AT-Nummer
5640-S-004/21;Healgen Scientific LLC;Siemens Healthcare Diagnostics Products GmbH;CLINITEST Rapid COVID-19 Self-Test;AT001/20
5640-S-007/21;Xiamen Boson Biotech Co., Ltd;Technomed Service GmbH;Rapid SARS-CoV-2 Antigen Test Card;AT116/20
5640-S-009/21;Hangzhou Laihe Biotech Ltd., Co.;Lissner Qi GmbH;LYHER® Covid-19 Antigen Schnelltest (Nasal);AT011/20
5640-S-025/21;SD BIOSENSOR, INC.;MT Promedt Consulting GmbH;SARS-CoV-2 Rapid Antigen Test;AT307/21
5640-S-062/21;AMEDA Labordiagnostik GmbH;AMEDA Labordiagnostik GmbH;AMP Rapid Test SARS-CoV-2 Ag;AT033/20
5640-S-057/21;Beijing Hotgen Biotech Co., Ltd;Beijing Hotgen Biotech Co., Ltd;Coronavirus (2019-nCoV)-Antigentest;AT282/21
5640-S-022/21;Aesku.Diagnostics GmbH & Co. KG;Aesku.Diagnostics GmbH & Co. KG;AESKU.RAPID SARS-CoV-2;AT363/20
5640-S-061/21;AMEDA Labordiagnostik GmbH;AMEDA Labordiagnostik GmbH;AMP Rapid Test SARS-CoV-2 Ag Sputum;AT033/20
5640-S-096/21;NanoRepro AG;NanoRepro AG;NanoRepro Antigen Schnelltest (Viromed)/NanoRepro Antigen Rapid Test (Viromed);
5640-S-076/21;MP Biomedicals Germany GmbH;MP Biomedicals Germany GmbH;Rapid SARS-CoV-2 Antigen Test Card;
5640-S-041/21;Biosynex Suisse SA;Biosynex Suisse SA;BIOSYNEX COVID-19 Ag BSS;AT025/20
5640-S-168/21;Hangzhou Clongene Biotech Co., Ltd.;Hangzhou Clongene Biotech Co., Ltd.;COVID-19 Antigen Rapid Test;
5640-S-128/21;MEDICE Arzneimittel Pütter GmbH & Co. KG;MEDICE Arzneimittel Pütter GmbH & Co. KG;Medicovid-AG SARS CoV-2 Antigen SELBSTTEST NASE;
5640-S-116/21;amec GmbH;amec GmbH;COVID-19 Antigen Schnelltest (Spucktest);
5640-S-147/21;MR Sanicom GmbH;MR Sanicom GmbH;COVID-19 Antigen-Schnelltest (Kolloidales Gold);
5640-S-079/21;Teda Laukoetter Technologie GmbH;Teda Laukoetter Technologie GmbH;ANBIO Corona Antigen Nasentupfer;
5640-S-080/21;Beijing Hotgen Biotech Co.,Ltd;Beijing Hotgen Biotech Co.,Ltd;Coronavirus (2019-nCoV)-Antigentest - Speichel;AT095/21
5640-S-178/21;Haemato Pharm GmbH;Haemato Pharm GmbH;Wondfo 2019-nCoV Antigen Test (Lateral-Flow-Methode) Selbsttest;
5640-S-146/21;OFM GmbH;OFM GmbH;Sensitivo COVID-19 Antigen Test;
5640-S-104/21;Beijing Lepu Medical Technology Co., Ltd.;Beijing Lepu Medical Technology Co., Ltd.;NASOCHECKcomfort SARS-CoV-2 Antigen-Schnelltest;
5640-S-100/21;Aripa Biotec GmbH;Aripa Biotec GmbH;COVID-19-N-Antigen Schnelltest SARS-CoV-2 (vorderer Nasenabstrich);
5640-S-140/21;OFM GmbH;OFM GmbH;Deni COVID-19 Antigen Test;
5640-S-036/21;Acura Kliniken Baden-Baden GmbH;Acura Kliniken Baden-Baden GmbH;Acura Speichel-Test Diagnos COVID-19 Antigen Saliva Test Kit;
5640-S-032/21;Shenzhen Watmind Medical Co., Ltd.;Shenzhen Watmind Medical Co., Ltd.;SARS-CoV-2 Ag Diagnostic Test Kit (Colloidal Gold);AT-108/21
5640-S-049/21;Mexacare GmbH;Mexacare GmbH;MEXACARE Corona Home-Test Antigen;
5640-S-123/21;Safecare Biotech (Hangzhou) Co., Ltd.;NIC GmbH;COVID-19 Antigen Rapid Test kit(Swab) (self-testing);
5640-S-015/21;Qingdao Hightop Biotech Co., Ltd.;Qingdao Hightop Biotech Co., Ltd.;HIGHTOP SARS-CoV-2 (COVID-19) Antigen Rapid Test;AT301/20
5640-S-053/21;Vitrosens Biyoteknoloji Ltd. Sti.;Vitrosens Biyoteknoloji Ltd. Sti.;RapidFor SARS-CoV-2 Rapid Antigen Test;AT507/20
5640-S-045/21;nal von minden GmbH;nal von minden GmbH;NADAL® COVID-19 Ag Test;AT021/20
5640-S-216/21;Abbott Rapid Diagnostics Jena GmbH;Abbott Rapid Diagnostics Jena GmbH;Panbio™ COVID-19 Antigen Self-Test;AT116/21
5640-S-058/21;Anbio (Xiamen) Biotechnology Co., Ltd.;Anbio (Xiamen) Biotechnology Co., Ltd.;COVID-19 Antigen Schnelltest (Kolloidales Gold);AT195/21
